transaction_id,amount_prediction,failure_reason_prediction,recovery_probability,calibrated_probability,confidence,recovery_flag,recovered_amount_prediction,recommended_policy,policy_threshold,expected_recovery_prediction,expected_intervention_cost,expected_friction_cost,expected_net_recovery_prediction,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share,recoverability_score,model_confidence,base_recovery_probability,recommended_action,action_recovery_probability,expected_recovery,intervention_cost,expected_net_recovery,decision_reason,priority,opportunity_rank,actual_recovery_probability,recovered,recovered_amount,customer_friction_cost,net_recovered_value,recovery_status,experiment_source_transaction_id,source_repeat,experiment_transaction_id,base_probability,treatment_effect,treatment,control,treatment_group,treatment_assignment_before_outcome,experiment_version,random_seed,control_recovery_probability,treatment_recovery_probability,incremental_recovery_probability,observed_recovery_probability,expected_control_recovery,expected_treatment_recovery,expected_incremental_recovery,expected_incremental_net_value
RECLAIM-V2-000001,716.96,LIMIT_EXCEEDED,0.4206537781739577,0.6160700465830002,0.1586924436520845,0,716.96,INTERVENE,0.475,441.6975805981479,1.5,0.25,439.9475805981479,C00233,2026-01-08 00:08:14,716.96,CARD,FAILED,LIMIT_EXCEEDED,11,10.0,1.0,0.9090909090909092,12.845277777777778,1,NONE,11.0,10.0,1.0,3616.75,0.0909090909090909,0.1982332204327089,1.0,1,12.845277777777778,101.5825,1.0,80.76,36.18,0.7315,RETRY_NOW,0.5267,377.61,1.0,376.11,strong historical payment reliability; previous payment succeeded,MEDIUM,2414,0.5617758691735537,0,0.0,3.5848000000000004,-4.5848,NOT_RECOVERED,T0010756,1,RECLAIM-V2-000001,0.6160700465830002,0.06297970978736012,1,0,TREATMENT,True,V2,2026,0.6160700465830002,0.6790497563703604,0.06297970978736012,0.6790497563703604,441.69758059814785,486.85151332729356,45.15393272914571,40.569132729145736
RECLAIM-V2-000002,4270.86,LIMIT_EXCEEDED,0.4091521313430894,0.6081328755587306,0.1816957373138211,0,4270.86,INTERVENE,0.475,2597.2503729087603,1.5,0.25,2595.5003729087603,C00512,2026-01-06 09:53:57,4270.86,CARD,FAILED,LIMIT_EXCEEDED,11,10.0,1.0,0.9090909090909092,8.4025,1,NONE,11.0,10.0,1.0,1959.2254545454543,0.0909090909090909,2.17987163758591,1.0,1,8.4025,54.09611111111112,1.0,80.76,36.18,0.7315,RETRY_NOW,0.5267,2249.38,1.0,2247.88,strong historical payment reliability; previous payment succeeded,HIGH,414,0.5617758691735537,0,0.0,21.3543,-22.3543,NOT_RECOVERED,T0023316,1,RECLAIM-V2-000002,0.6081328755587306,0.06337167380839714,1,0,TREATMENT,True,V2,2026,0.6081328755587306,0.6715045493671278,0.06337167380839714,0.6715045493671278,2597.2503729087603,2867.901919710091,270.6515468013308,248.29724680133086
RECLAIM-V2-000003,5939.97,PAYMENT_TIMEOUT,0.6500377360373243,0.7576086517576865,0.3000754720746486,1,5939.97,INTERVENE,0.475,4500.172663181105,1.5,0.25,4498.422663181105,C00329,2026-01-15 05:50:52,5939.97,UPI,FAILED,PAYMENT_TIMEOUT,26,26.0,0.0,1.0,10.380833333333332,1,NONE,13.0,13.0,0.0,1982.02,0.0,2.996927377120312,0.5,1,10.380833333333332,-1.0,1.0,87.89,58.29,0.7931,RETRY_NOW,0.6396,3798.94,0.0,3797.44,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,136,0.7874454,1,5939.97,0.0,5939.97,RECOVERED,T0014941,1,RECLAIM-V2-000003,0.7576086517576865,0.05945207766316507,0,1,CONTROL,True,V2,2026,0.7576086517576865,0.8170607294208516,0.05945207766316507,0.7576086517576865,4500.172663181105,4853.316220937976,353.1435577568709,326.6435577568709
RECLAIM-V2-000004,1133.12,INSUFFICIENT_FUNDS,0.4988197924777667,0.6682083739588253,0.0023604150444664,1,1133.12,INTERVENE,0.475,757.160272700224,1.5,0.25,755.410272700224,C00565,2026-01-29 01:56:55,1133.12,UPI,FAILED,INSUFFICIENT_FUNDS,32,29.0,3.0,0.90625,23.515833333333333,1,NONE,7.0,6.0,1.0,2900.608571428572,0.1428571428571428,0.3906490559124045,0.21875,1,23.515833333333333,77.9525,1.0,80.83,65.86,0.732,DELAYED_RETRY,0.5556,629.55,0.0,628.55,strong historical payment reliability; previous payment succeeded,MEDIUM,1913,0.7358300606138393,1,1133.12,0.0,1133.12,RECOVERED,T0025688,1,RECLAIM-V2-000004,0.6682083739588253,0.02478394566784392,0,1,CONTROL,True,V2,2026,0.6682083739588253,0.6929923196266692,0.02478394566784392,0.6682083739588253,757.160272700224,785.2434572153713,28.08318451514731,21.41758451514727
RECLAIM-V2-000005,2317.59,BANK_DECLINE,0.4445805483332788,0.6323809053548269,0.1108389033334422,0,0.0,INTERVENE,0.475,1465.5996624412935,1.5,0.25,1463.8496624412935,C00708,2026-01-16 01:57:24,2317.59,UPI,FAILED,BANK_DECLINE,26,24.0,2.0,0.9230769230769232,10.362777777777778,1,NONE,15.0,14.0,1.0,2624.7319999999995,0.0666666666666666,0.8829815767857444,0.5769230769230769,1,10.362777777777778,79.39444444444445,1.0,84.97,61.05,0.7659,RETRY_NOW,0.5514,1278.03,0.0,1276.53,strong historical payment reliability; previous payment succeeded,HIGH,1006,0.629855731923077,0,0.0,0.0,0.0,NOT_RECOVERED,T0032545,1,RECLAIM-V2-000005,0.6323809053548269,0.054821914613917166,0,1,CONTROL,True,V2,2026,0.6323809053548269,0.6872028199687441,0.054821914613917166,0.6323809053548269,1465.5996624412935,1592.6543835313616,127.05472109006814,113.96677109006805
RECLAIM-V2-000006,2152.95,BANK_DECLINE,0.3865591867571589,0.5923776861440536,0.2268816264856822,1,0.0,INTERVENE,0.475,1275.3595393838402,1.5,0.25,1273.6095393838402,C00969,2026-01-03 06:20:23,2152.95,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,49.25,1,NONE,1.0,1.0,0.0,629.27,0.0,3.4213453684427986,1.0,1,49.25,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,1137.48,0.0,1135.98,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,1149,0.6078205,1,2152.95,0.0,2152.95,RECOVERED,T0044447,1,RECLAIM-V2-000006,0.5923776861440536,0.07555490549845778,0,1,CONTROL,True,V2,2026,0.5923776861440536,0.6679325916425114,0.07555490549845778,0.5923776861440536,1275.3595393838402,1438.0254731767448,162.66593379290453,150.90118379290448
RECLAIM-V2-000007,3776.6,PAYMENT_TIMEOUT,0.6254866286270899,0.744264868187976,0.2509732572541798,1,3776.6,INTERVENE,0.475,2810.79070119871,1.5,0.25,2809.04070119871,C00734,2026-01-22 18:50:31,3776.6,WALLET,FAILED,PAYMENT_TIMEOUT,19,19.0,0.0,1.0,5.678611111111112,1,NONE,6.0,6.0,0.0,2910.0166666666664,0.0,1.2977932543341677,0.3157894736842105,1,5.678611111111112,-1.0,1.0,84.52,42.79,0.7662,RETRY_NOW,0.6179,2333.42,0.0,2331.92,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,386,0.7861991,1,3776.6,0.0,3776.6,RECOVERED,T0033814,1,RECLAIM-V2-000007,0.744264868187976,0.06606133161563399,0,1,CONTROL,True,V2,2026,0.744264868187976,0.81032619980361,0.06606133161563399,0.744264868187976,2810.79070119871,3060.2779261783135,249.48722497960352,229.6042249796037
RECLAIM-V2-000008,2094.96,BANK_DECLINE,0.4875758865408905,0.6609234429221841,0.0248482269182188,0,2094.96,INTERVENE,0.475,1384.6081759842589,1.5,0.25,1382.8581759842589,C00094,2026-01-28 00:02:18,2094.96,CARD,FAILED,BANK_DECLINE,56,56.0,0.0,1.0,9.825833333333334,1,NONE,15.0,15.0,0.0,2243.000666666667,0.0,0.9339988307329972,0.2678571428571428,1,9.825833333333334,-1.0,1.0,90.36,80.71,0.8129,RETRY_NOW,0.5853,1226.15,0.0,1224.65,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,1057,0.6797455,0,0.0,0.0,0.0,NOT_RECOVERED,T0004263,1,RECLAIM-V2-000008,0.6609234429221841,0.08500068152344475,0,1,CONTROL,True,V2,2026,0.6609234429221841,0.7459241244456288,0.08500068152344475,0.6609234429221841,1384.6081759842589,1562.6812037486145,178.07302776435563,166.09822776435567
RECLAIM-V2-000009,854.81,PAYMENT_TIMEOUT,0.6592705106225041,0.7625025193529179,0.3185410212450081,1,854.81,INTERVENE,0.475,651.7947785680677,1.5,0.25,650.0447785680677,C00360,2026-01-20 21:55:54,854.81,UPI,FAILED,PAYMENT_TIMEOUT,35,33.0,2.0,0.9428571428571428,7.081944444444445,1,NONE,12.0,12.0,0.0,2213.3916666666664,0.0,0.3861991589077095,0.3428571428571428,1,7.081944444444445,172.41583333333332,1.0,86.95,71.07,0.7827,RETRY_NOW,0.6312,539.53,1.5,538.03,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2084,0.808905188,1,854.81,4.27405,849.03595,RECOVERED,T0016455,1,RECLAIM-V2-000009,0.7625025193529179,0.06976023276610854,1,0,TREATMENT,True,V2,2026,0.7625025193529179,0.8322627521190264,0.06976023276610854,0.8322627521190264,651.7947785680677,711.4265231388649,59.631744570797196,53.85769457079721
RECLAIM-V2-000010,1874.26,INSUFFICIENT_FUNDS,0.5565756011388489,0.7043215162108611,0.1131512022776977,1,0.0,INTERVENE,0.475,1320.0816449733686,1.5,0.25,1318.3316449733686,C00819,2026-01-22 13:59:01,1874.26,CARD,FAILED,INSUFFICIENT_FUNDS,32,29.0,3.0,0.90625,16.374166666666667,1,NONE,16.0,15.0,1.0,1598.428125,0.0625,1.1725644529684436,0.5,1,16.374166666666667,178.55527777777775,1.0,85.65,70.68,0.7705,DELAYED_RETRY,0.5848,1096.09,1.5,1095.09,strong historical payment reliability; previous payment succeeded,HIGH,1203,0.753697132626953,1,1874.26,9.3713,1863.3887,RECOVERED,T0037693,1,RECLAIM-V2-000010,0.7043215162108611,0.062446897230099996,1,0,TREATMENT,True,V2,2026,0.7043215162108611,0.7667684134409611,0.062446897230099996,0.7667684134409611,1320.0816449733686,1437.123366575856,117.04172160248731,106.1704216024873
