metric,value
v7_transactions,10000
v7_target,500
v7_retry_all,9500
v8_transactions,10000
v8_target,500
v8_retry_all,9500
matched_production_outcomes,10000
overall_match_rate,1.0
observed_recovered_rows,0
observed_recovery_rate,0.0
observed_recovered_value,0.0
target_matched,0
target_recovery_rate,
retry_all_matched,0
retry_all_recovery_rate,
rate_difference_target_minus_retry,
statistical_z,
statistical_p_value,
evaluation_sufficient,False
targeting_changed,False
population_changed,False
oracle_fields_used,False
verdict,OUTCOME_CAPTURE_INSUFFICIENT_NO_PRODUCTION_MATCH
