category,metric,value,threshold,status
prediction_distribution,predicted_treatment_probability.count,10000.0,,INFO
prediction_distribution,predicted_treatment_probability.mean,0.551231087652072,,INFO
prediction_distribution,predicted_treatment_probability.std,0.14723106475431466,,INFO
prediction_distribution,predicted_treatment_probability.min,0.0991596666064068,,INFO
prediction_distribution,predicted_treatment_probability.p01,0.22070800757250192,,INFO
prediction_distribution,predicted_treatment_probability.p05,0.29691133739149783,,INFO
prediction_distribution,predicted_treatment_probability.p25,0.46091494226521984,,INFO
prediction_distribution,predicted_treatment_probability.median,0.5480114582100905,,INFO
prediction_distribution,predicted_treatment_probability.p75,0.6530661913282597,,INFO
prediction_distribution,predicted_treatment_probability.p95,0.7909915048258012,,INFO
prediction_distribution,predicted_treatment_probability.p99,0.8549645130788326,,INFO
prediction_distribution,predicted_treatment_probability.max,0.8994907165674423,,INFO
prediction_distribution,predicted_control_probability.count,10000.0,,INFO
prediction_distribution,predicted_control_probability.mean,0.5305676840584138,,INFO
prediction_distribution,predicted_control_probability.std,0.1298939574796698,,INFO
prediction_distribution,predicted_control_probability.min,0.1445882867982266,,INFO
prediction_distribution,predicted_control_probability.p01,0.22414014568233012,,INFO
prediction_distribution,predicted_control_probability.p05,0.3271108548170789,,INFO
prediction_distribution,predicted_control_probability.p25,0.44020430393860416,,INFO
prediction_distribution,predicted_control_probability.median,0.5293868602090331,,INFO
prediction_distribution,predicted_control_probability.p75,0.61851932954686,,INFO
prediction_distribution,predicted_control_probability.p95,0.7514469191869121,,INFO
prediction_distribution,predicted_control_probability.p99,0.8405663477938901,,INFO
prediction_distribution,predicted_control_probability.max,0.9085060247427368,,INFO
prediction_distribution,predicted_probability_uplift.count,10000.0,,INFO
prediction_distribution,predicted_probability_uplift.mean,0.020663403593658182,,INFO
prediction_distribution,predicted_probability_uplift.std,0.14730768455815307,,INFO
prediction_distribution,predicted_probability_uplift.min,-0.4054698135303829,,INFO
prediction_distribution,predicted_probability_uplift.p01,-0.31895342170543173,,INFO
prediction_distribution,predicted_probability_uplift.p05,-0.21237404837448862,,INFO
prediction_distribution,predicted_probability_uplift.p25,-0.0820214638074598,,INFO
prediction_distribution,predicted_probability_uplift.median,0.01717446111479505,,INFO
prediction_distribution,predicted_probability_uplift.p75,0.133256284358495,,INFO
prediction_distribution,predicted_probability_uplift.p95,0.2596324443673173,,INFO
prediction_distribution,predicted_probability_uplift.p99,0.32953690937239893,,INFO
prediction_distribution,predicted_probability_uplift.max,0.4326351199789821,,INFO
uplift_monitoring,positive_uplift_count,5391.0,,INFO
uplift_monitoring,zero_or_negative_uplift_count,4609.0,,INFO
uplift_monitoring,missing_uplift_count,0.0,,INFO
policy_distribution,selected_policy_type.TOP_RATE,10000.0,,INFO
policy_distribution,selected_policy.RETRY_ALL,9500.0,,INFO
policy_distribution,selected_policy.TARGET,500.0,,INFO
population,total_rows,10000.0,,INFO
population,unique_transaction_ids,10000.0,,INFO
population,unique_customers,425.0,,INFO
targeting,expected_top_rate,0.05,,INFO
targeting,observed_intervention_rate,0.05,,INFO
targeting,selected_transaction_count,500.0,,INFO
targeting,target_rate_difference,0.0,,INFO
