customer_id,signup_date,preferred_payment_method,reliability,financial_stability,responsiveness,retry_sensitivity,reminder_sensitivity,activity_level
C00001,2025-01-30,WALLET,0.8474362002717577,0.6236317372205136,0.6158664721611458,0.49466815137957676,0.7635989425126563,0.2085953898377155
C00002,2025-12-20,NETBANKING,0.7937865508795596,0.6981189548619254,0.5072168249236908,0.5697891226947734,0.3151787332151388,0.5697740147223074
C00003,2025-06-03,UPI,0.7287712649204053,0.728419975734391,0.8677828467290355,0.6959469726976621,0.5642942162202429,0.36340589586806327
C00004,2025-06-02,CARD,0.7131128787910659,0.7902699235855679,0.7400849440317524,0.5538217813625748,0.43488870104547217,0.4333198773124669
C00005,2025-09-20,NETBANKING,0.7228347979496449,0.671666653089963,0.4643369926527335,0.6971913138788993,0.4200238316350355,0.5719101006646374
C00006,2025-11-19,UPI,0.6527819864748847,0.5153171067752885,0.808794303782087,0.8854139746851751,0.5476540634211425,0.6061990841793438
C00007,2025-04-14,UPI,0.642142418388064,0.6590795242617724,0.5767760250076844,0.5784539181242786,0.9283746510232834,0.015399024724639637
C00008,2025-08-24,CARD,0.8884195051440991,0.7342490315187541,0.6261305558868817,0.4710763381372308,0.4974611353522367,0.9949018454545678
C00009,2025-02-03,UPI,0.5540748498424206,0.5045744755194108,0.6505956057911992,0.48322667748736925,0.6113653674170434,0.43301573612275346
C00010,2025-10-18,CARD,0.8438729971194316,0.7163943118188133,0.8467683797568837,0.8007345926019138,0.5724187203785752,0.5639130745419794
C00011,2025-07-17,UPI,0.7107789652638102,0.6817384886444042,0.892704273460681,0.7264881056308236,0.6517075860870436,0.04575337080543636
C00012,2025-07-22,UPI,0.4053263139356106,0.6314586287900263,0.5169172995914412,0.5329880963435433,0.5252155542223438,0.8425174413221748
C00013,2025-02-28,CARD,0.8450041390381866,0.8025680243912645,0.6277956631787368,0.7115600568227894,0.6036207352727231,0.48877087938088015
C00014,2025-02-25,CARD,0.7898540491165658,0.4659991690246139,0.7068876559843094,0.6308328224321359,0.44161412998511873,0.7615900013202012
C00015,2025-02-10,CARD,0.8428315443642937,0.7101284180436063,0.8815745117780616,0.6011198863330166,0.37369973725959116,0.957398767060666
C00016,2025-07-17,UPI,0.7672520273570509,0.8031928686779539,0.8580016958132755,0.7025993235622655,0.6435307553870379,0.38465062734963595
C00017,2025-08-31,WALLET,0.8122630466960651,0.7622935120527361,0.26726525007691804,0.7181010163384979,0.600020822244656,0.8285710295466986
C00018,2025-09-01,NETBANKING,0.6180119205174823,0.37010996182777456,0.6802366137737235,0.4817934787196803,0.4785118658937755,0.7894634202816858
C00019,2025-03-06,CARD,0.5627791350168746,0.5551830406462553,0.2796403181653587,0.529793359767575,0.6518666846201984,0.28530714359833326
C00020,2025-02-14,UPI,0.7758646178501274,0.8456151005370847,0.7603323670718097,0.6500970816495114,0.46904300397830645,0.43689868461031783
C00021,2025-06-14,UPI,0.8408622255270893,0.7370277346994775,0.6713740212820498,0.7883567598964821,0.6240421348842142,0.5775687505658695
C00022,2025-08-03,WALLET,0.6190201309818666,0.654340296794213,0.52310412191538,0.6282288441606498,0.4191680058281787,0.158067375822028
C00023,2025-01-05,WALLET,0.8046501291627072,0.615657418898598,0.5156891174747023,0.4553027835526654,0.4786790124810163,0.752083571457224
C00024,2025-09-07,WALLET,0.5899807696955408,0.45026024392979375,0.5803097406546083,0.5603699048292836,0.5375585513417797,0.2956374824867207
C00025,2025-01-14,UPI,0.6764103631348589,0.6172416305382404,0.7154492779045444,0.5963151951888584,0.44608310076016733,0.7095928420208605
C00026,2025-01-16,CARD,0.856380055076221,0.7985416338268274,0.8764397514600393,0.7169844671735484,0.7490329076412148,0.48734129830144124
C00027,2025-05-16,UPI,0.8225649090160448,0.69988379422555,0.8973254974493924,0.6882334615956355,0.8252731037131,0.6640953838644372
C00028,2025-09-02,CARD,0.8640165845025581,0.6374523282931499,0.7569005744510646,0.5601794142988814,0.5727425059789077,0.7814451380093855
C00029,2025-06-14,UPI,0.7070592191887217,0.6207458928643232,0.6408210472776324,0.7166584466087175,0.38655290016082217,0.5466089070979089
C00030,2025-04-27,NETBANKING,0.5564266301918245,0.6695360116059941,0.6541439855219766,0.5356879871647031,0.3668051912189854,0.4305285127475697
C00031,2025-04-05,UPI,0.7209230096724422,0.6795971830648081,0.5085964726599815,0.6853434947667196,0.8011725163326,0.3714095423849053
C00032,2025-04-05,UPI,0.8988824358943801,0.7219877471924941,0.6745377160493528,0.862744143317567,0.7106204303021395,0.6482531700226898
C00033,2025-09-18,UPI,0.7785178811759335,0.722074792019167,0.3839423671230436,0.9913197230620663,0.5301747191162672,0.34142695583845273
C00034,2025-06-26,NETBANKING,0.6562773836790946,0.6120225672251821,0.5307867726835902,0.5743747414196876,0.5615921506960726,0.7031201908850205
C00035,2025-03-14,UPI,0.7958694194571204,0.5221175758513883,0.7753767964871832,0.5464378990174048,0.5251512013475689,0.7247656490246716
C00036,2025-09-06,UPI,0.646318101911826,0.6689750431494033,0.6412945157028731,0.20287867870042003,0.5787374031660415,0.07689425204934794
C00037,2025-10-14,UPI,0.7899069923025083,0.7432587773365315,0.7475384173120694,0.96074665911753,0.846647295381162,0.1630589560766533
C00038,2025-09-23,CARD,0.82668643035196,0.5489587692243811,0.461830884459941,0.8014281871369306,0.6579718976520205,0.586183739818963
C00039,2025-10-03,UPI,0.7892747037287412,0.6576487379598311,0.844487512229015,0.7792213510205145,0.4289500389664603,0.5978570010445281
C00040,2025-11-02,UPI,0.6387050574514508,0.46053554432189014,0.7180121336226218,0.7861908790210046,0.7140991420682045,0.3674648452318131
C00041,2025-03-16,UPI,0.7637856012396873,0.6776624900536882,0.9264752070118947,0.6927745582184629,0.719522741311508,0.6988654393003246
C00042,2025-10-08,CARD,0.9502935482213806,0.8928760221492755,0.8601733627191125,0.8029233249482934,0.5954208273977394,0.3555823245102421
C00043,2025-10-02,NETBANKING,0.6905192591043431,0.5853205684511051,0.6498406904142392,0.8948209243421427,0.6300275303480054,0.4546715326882378
C00044,2025-03-21,UPI,0.6579114823430081,0.5075234983062659,0.5387705166553827,0.6405073906819388,0.5215932906365189,0.40966943478511736
C00045,2025-12-20,CARD,0.48179315617365887,0.5998774087458811,0.7061304528390188,0.5280744089262922,0.8440782340489482,0.7270305342318969
C00046,2025-07-29,UPI,0.572029148798978,0.6517967242631457,0.3603593037431765,0.3177926583797483,0.17156494613169637,0.7345877411002069
C00047,2025-04-09,NETBANKING,0.9079369765317774,0.8609585761360703,0.7595996078237024,0.4409029001616675,0.4173739002829995,0.5654566849928984
C00048,2025-02-14,UPI,0.6482510717999552,0.45668232738343606,0.679075382928114,0.5635212408049673,0.44967780020367204,0.15222928671399394
C00049,2025-02-22,CARD,0.5691041065036005,0.8352046723595777,0.5717496711075394,0.6298966633224341,0.7833413165836,0.13640302844768232
C00050,2025-09-21,UPI,0.5602678184008779,0.4510462360560899,0.5996727045632495,0.28043489686393647,0.2314796052335361,0.3087286941026702
C00051,2025-12-24,UPI,0.8928401459611319,0.7189502009392079,0.34585598119707006,0.685959191731743,0.29383158856552943,0.3294064477508473
C00052,2025-08-01,CARD,0.6790678675342061,0.5438675778081106,0.655556568609248,0.795809396580767,0.2811425117120836,0.09919681537955835
C00053,2025-07-19,UPI,0.7286829088105822,0.7018507980766722,0.8089566992173594,0.6756236839642249,0.6086897917700282,0.4035454452979055
C00054,2025-10-13,NETBANKING,0.8131835967045746,0.6725140019865841,0.7843189845556318,0.716199914855468,0.49652804932375477,0.36910001706436923
C00055,2025-10-23,WALLET,0.7476365720797651,0.5986922003147972,0.8670408946131003,0.6854690150927315,0.9487613321976744,0.931090759052965
C00056,2025-08-16,CARD,0.8200707367123927,0.5204873743221403,0.6684185147380134,0.4888878807044011,0.5915512544378981,0.33308605290736965
C00057,2025-07-03,UPI,0.46026414437482394,0.3874651490083394,0.7579932935615501,0.5145486487091577,0.7424969320979826,0.6350758843382199
C00058,2025-12-09,UPI,0.6906217507350751,0.8040327375599323,0.5777148301000489,0.5346649728470825,0.6074401445842191,0.3186232746243015
C00059,2025-05-15,UPI,0.7756581126088553,0.6374526836471278,0.6135552588789273,0.42947844556226894,0.6280899492292275,0.8160033379130599
C00060,2025-10-11,UPI,0.7250678253679786,0.6384675423760753,0.6744086713000773,0.7320593172546703,0.5595555022708686,0.3163113771771668
C00061,2025-11-20,NETBANKING,0.5864232386524275,0.49835526285947873,0.8417728074302713,0.5357063537235044,0.5638968687117849,0.5091373341364229
C00062,2025-10-13,CARD,0.888879960865264,0.8005988031792843,0.6214149859583369,0.4999542699963355,0.5700290439004604,0.253519039033647
C00063,2025-02-17,UPI,0.5971812499086357,0.44910440807894814,0.7112723656151531,0.2965063565627568,0.2337897829017258,0.21806708921754878
C00064,2025-10-30,CARD,0.49579024211057815,0.43123869383170454,0.5679933490894814,0.5796860213013908,0.7758763434880287,0.46912455813347037
