segment_type,segment,treatment_n,control_n,treatment_recovery_rate,control_recovery_rate,recovery_lift,treatment_mean_recovered_amount,control_mean_recovered_amount,treatment_mean_net_value,control_mean_net_value,net_value_difference
probability_band,0.50-0.60,33,29,0.5454545454545454,0.4482758620689655,0.09717868338557989,1107.0500285874614,1860.9972739401512,1105.3000285874614,1860.9972739401512,-755.6972453526898
probability_band,0.60-0.70,155,155,0.6645161290322581,0.632258064516129,0.032258064516129115,1125.7017743828903,1109.613473252853,1123.9517743828903,1109.613473252853,14.33830113003728
probability_band,>0.70,99,103,0.7777777777777778,0.7184466019417476,0.0593311758360302,1430.05275922532,1260.2149093879063,1428.30275922532,1260.2149093879063,168.08784983741361
amount_band,"(103.679, 856.0]",72,74,0.7083333333333334,0.6351351351351351,0.07319819819819828,328.8083745501246,302.1307124315752,327.0583745501246,302.1307124315752,24.927662118549392
amount_band,"(856.0, 1558.3]",68,77,0.7058823529411765,0.6493506493506493,0.05653170359052717,731.4065464678458,662.8879996569939,729.6565464678458,662.8879996569939,66.76854681085194
amount_band,"(1558.3, 2879.41]",79,66,0.6962025316455697,0.6818181818181818,0.014384349827387899,1322.5247723977172,1249.1002213032525,1320.7747723977172,1249.1002213032525,71.67455109446473
amount_band,"(2879.41, 26703.03]",71,74,0.647887323943662,0.6081081081081081,0.03977921583555388,2500.360064700617,2716.436262947311,2498.610064700617,2716.436262947311,-217.82619824669428
confidence_band,<0.10,91,96,0.6923076923076923,0.6770833333333334,0.01522435897435892,1234.6499232425479,1040.4806596050112,1232.8999232425479,1040.4806596050112,192.4192636375367
confidence_band,0.10-0.20,103,118,0.6699029126213593,0.6440677966101694,0.025835116011189818,1057.10947800146,1291.4184650969605,1055.35947800146,1291.4184650969605,-236.05898709550047
confidence_band,0.20-0.30,65,58,0.7384615384615385,0.5689655172413793,0.16949602122015917,1244.3524396949053,1041.4858406231076,1242.6024396949053,1041.4858406231076,201.11659907179774
confidence_band,>0.30,31,19,0.6451612903225806,0.6842105263157895,-0.039049235993208864,1719.243287457898,2325.1181998935867,1717.493287457898,2325.1181998935867,-607.6249124356887
failure_reason,BANK_DECLINE,90,84,0.6222222222222222,0.5952380952380952,0.026984126984127,1067.8139167082147,1418.806309554674,1066.0639167082147,1418.806309554674,-352.7423928464593
failure_reason,INSUFFICIENT_FUNDS,78,72,0.6282051282051282,0.6805555555555556,-0.052350427350427386,1232.7207684320044,894.4870609338913,1230.9707684320044,894.4870609338913,336.4837074981132
failure_reason,LIMIT_EXCEEDED,23,38,0.6086956521739131,0.5526315789473685,0.05606407322654461,1026.1146396838078,1393.9151889523753,1024.3646396838078,1393.9151889523753,-369.55054926856747
failure_reason,NETWORK_ERROR,56,65,0.8571428571428571,0.6923076923076923,0.1648351648351648,1291.2894945718729,1189.1713724819151,1289.5394945718729,1189.1713724819151,100.36812208995775
failure_reason,PAYMENT_TIMEOUT,43,32,0.7674418604651163,0.6875,0.07994186046511631,1563.873230009251,1344.0384992591637,1562.123230009251,1344.0384992591637,218.08473075008737
