seed,targeting_value,retry_all_value,no_intervention_value,targeting_advantage_vs_retry_all,targeting_advantage_vs_no_intervention,oracle_value,oracle_advantage_vs_retry_all
500,1485.7059745666668,1514.9475308,1399.45346,-29.241556233333313,86.25251456666683,1508.605313466667,-6.34221733333311
501,1588.6283076666668,1654.9206605666666,1491.7738000000002,-66.29235289999974,96.85450766666668,1658.202739,3.2820784333334814
502,1550.1677756999998,1633.6244365666664,1377.2321866666666,-83.45666086666665,172.93558903333314,1599.8146596666668,-33.80977689999963
503,1492.685038066667,1539.3857552,1485.33892,-46.700717133333,7.346118066667032,1552.9963524666664,13.610597266666446
504,1525.3560071000004,1595.2999371333333,1371.8870866666666,-69.94393003333289,153.46892043333378,1580.003767,-15.296170133333362
505,1531.2443111333334,1570.0590504333334,1461.1856133333333,-38.81473929999993,70.05869780000012,1529.9359629,-40.12308753333332
506,1566.3525797333332,1523.6727526333332,1488.5869533333332,42.67982710000001,77.76562639999997,1546.1006068000002,22.427854166666975
507,1558.3630533333335,1616.0495237999999,1394.0117533333334,-57.68647046666638,164.35130000000004,1569.2607931666666,-46.788730633333216
508,1639.4122112,1624.2305256666666,1396.2118533333335,15.181685533333393,243.20035786666654,1604.4810774666666,-19.74944819999996
509,1519.3967736666668,1640.6618572333334,1357.44064,-121.26508356666659,161.9561336666668,1601.202618633333,-39.45923860000039
510,1587.4985817333334,1600.7130812666664,1460.0504733333332,-13.214499533333083,127.44810840000014,1581.2124640666668,-19.500617199999624
511,1662.343121266667,1584.436390633333,1548.64886,77.90673063333384,113.6942612666669,1610.2599696333334,25.823579000000336
512,1581.2986799000003,1651.2901999333333,1510.1726066666668,-69.99152003333302,71.1260732333335,1627.459870866667,-23.83032906666631
513,1517.4985078666666,1512.3116440333333,1401.50056,5.186863833333291,115.99794786666666,1506.1225848999998,-6.189059133333558
514,1529.3025203,1553.8546838999998,1478.4658866666666,-24.552163599999858,50.83663363333335,1549.4598712333336,-4.394812666666212
515,1481.3940776333332,1578.8382817333334,1339.7756133333332,-97.4442041000002,141.6184642999999,1587.7692869999998,8.931005266666489
516,1481.5980602000002,1480.9644955333335,1512.1329333333333,0.6335646666666435,-30.53487313333312,1463.4077892666667,-17.55670626666688
517,1539.1741447000002,1559.2112433,1498.9690333333335,-20.03709859999981,40.20511136666664,1562.6383244333335,3.4270811333335587
518,1578.8835875333334,1597.3160159666668,1449.1531933333333,-18.43242843333337,129.7303942000001,1564.7430356000004,-32.57298036666634
519,1573.6182163333333,1610.6106794000002,1429.23442,-36.992463066666915,144.3837963333333,1568.1098712666667,-42.50080813333352
